item,frequency
आ,2991109
व्,624743
ए,2318442
द्,607633
अ,6916491
न्,1334448
क्,2219964
र्,2140164
ई,1460305
ख्,166957
इ,1432973
त्,980066
ज्,551378
ह् ,1133159
ऐ,437996
उ,587149
ओ,896588
म्,1053237
ल्,919917
प्,805896
य्,752819
ब्,524636
स्,1283708
अं,1215588
भ्,230722
ग्,479490
थ्,182810
ट्,318634
ऊ,217617
च्,272542
ण्,90836
ध्,161695
औ,182697
ष्,125476
ढ्,25748
ड्,221707
ठ्,43298
श्,297486
फ्,142268
छ्,61767
ऑ,52256
ऍ,1819
ड़्,22810
ढ़्,6220
घ्,42245
ळ्,4899
झ्,23474
अः,2670
ञ्,6702
ज़्,5232
ऋ,1587
फ़्,2622
य़्,409
ङ्,316
ख़्,1224
ग़्,470
क़्,1137
ऎ,158
ऒ,226
ॠ,19
